Lost,VDSS,V/VDSS,CISS,COSS,CRSS,IDSS,VGS,RDS(ON),LETth,FAILURE MODE,ION
0,706,0.5955273725306043,-3087,3451.5008131658415,477.31519843503054,-10,-2.6373854578341414,0.11952644669238716,-21.393805929547128,0,0
1,1881,-0.09001556329118232,17076,950.7190790531113,92.3850362401773,55,2.1603730239821717,0.44224656028742976,35.91188616448747,0,0
2,1469,0.1882530100287385,5015,3181.802212136801,320.8965876975416,34,6.421627479099348,-0.11483677462711978,11.879530428061052,1,2
3,1788,0.17405279148462727,2327,2587.982216921374,776.3020314718178,19,2.074130839133603,0.6199010024591083,-1.5887594681712613,2,0
4,443,-0.28779839176238176,11777,1100.5385345438867,60.641069728379065,-1,2.2748829354753415,0.3248980387635383,3.652516823883957,0,2
5,137,-0.18837252788760772,-120,705.3438796764552,62.898127151122274,31,2.576780084909012,0.3279258204629365,-6.091415804210499,1,0
6,437,0.4689945719277587,-2960,574.4544259943603,899.6070624391004,38,2.2226770736570076,0.6982834125399198,-13.199953467960121,1,0
7,254,0.08062331876314843,5949,624.696427461586,144.8639759346144,28,2.4636261402651107,0.05390554601612485,2.1932068206459476,1,1
8,1744,0.2876740227392305,12345,-554.0766183114752,408.62696241156743,33,8.255184885013044,0.2598573579343807,-16.319473947591668,1,0
9,1658,0.24875759164538774,6064,588.4704165736262,262.7599546175183,69,6.236594080237829,0.11310748424400952,-1.2708471637620917,1,1
10,73,1.2562095976149505,4039,877.3931106596265,-7.174353467411862,66,-3.150525942023325,0.3280777996378586,0.7145666338741634,1,1
11,1471,-0.3228671453792613,8261,185.80902364550954,297.7604028153019,17,1.271673134741519,0.0010712760024304685,-10.73559377329726,0,0
12,618,0.1335063691920027,4954,430.823277110257,249.74985177708555,33,4.527719651953614,0.22351590992262965,19.297248155099876,0,1
13,371,-0.12995445550206042,6862,2555.009313844973,369.79133449960426,12,3.5875270080178545,0.36026603246348166,-18.445562421799444,1,0
14,534,0.2748547233180792,3818,159.7587910869346,670.62355405946,16,4.245827661845642,-0.02569459533428589,-12.618741571533377,1,0
15,711,-0.0142501577781039,5150,647.7078670444844,760.0124445402082,48,4.6792810595171375,-0.02573719962596016,-8.84183904372248,2,0
16,8,-0.08744385938728627,389,-48.06351643185144,292.92414061459476,43,2.348431676992123,0.8487290794673101,-9.18310657246532,0,2
